	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压偏压
	...量程,	自动
	...偏置值,	0
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"86","44.203358","-3.06129477394279E-05","0.00041652872459963"
"87","44.723397","-2.68220901489258E-05","0.000416320806834847"
"88","45.243437","-3.01361087622354E-05","0.000416209601098672"
"89","45.763476","-3.02314765576739E-05","0.00041622354183346"
"90","46.283516","-3.0517578125E-05","0.000416228082031012"
"91","46.803556","-3.33070747728925E-05","0.000415840273490176"
"92","47.323595","-2.88248065771768E-05","0.000416067981859669"
"93","47.843635","-3.20196159009356E-05","0.000416257651522756"
"94","48.363675","-3.33309180859942E-05","0.000416577968280762"
"95","48.883715","-3.39984908350743E-05","0.000416853319620714"
"96","49.403755","-3.63349936378654E-05","0.000417125353123993"
"97","49.923794","-4.0197373891715E-05","0.000417171977460384"
"98","50.443834","-3.66210952051915E-05","0.000417013186961412"
"99","50.963873","-3.45468542946037E-05","0.000417968287365511"
"100","51.483913","-3.21626685035881E-05","0.000416709430282936"
