	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电流偏置
	...量程,	自动
	...偏置值,	0
	...限值,	5
	..Measure Settings,	
	...电流,	测量值
	...电压,	True
	...量程,	自动
	...最小量程,	0.2
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电流 (A)","SMU-1 电压 (V)"
"1","0","1.5330313787084E-13","-0.643917798995972"
"2","0.52004","1.52587889697652E-13","-0.643796682357788"
"3","1.04008","1.47104252607236E-13","-0.643821954727173"
"4","1.560119","1.49250024231856E-13","-0.643823623657227"
"5","2.080158","1.54256815654286E-13","-0.643832206726074"
"6","2.600197","1.57356251509824E-13","-0.643865823745728"
"7","3.120236","1.63793552831158E-13","-0.643791198730469"
"8","3.640276","1.63435928744564E-13","-0.643829107284546"
"9","4.160315","1.62005418845659E-13","-0.643814086914063"
"10","4.680354","1.59025191018985E-13","-0.643780946731567"
"11","5.200393","1.68323512138129E-13","-0.643813848495483"
"12","5.720433","1.59978868802431E-13","-0.643822908401489"
"13","6.240472","1.58429137322134E-13","-0.643784046173096"
"14","6.760512","1.5914439904785E-13","-0.643812417984009"
"15","7.280551","1.50561326101896E-13","-0.643783092498779"
"16","7.80059","1.52349473639922E-13","-0.643807888031006"
"17","8.320629","1.51634211914206E-13","-0.643796920776367"
"18","8.840669","1.519918360008E-13","-0.643774271011353"
"19","9.360708","1.51038171769882E-13","-0.643778562545776"
"20","9.880748","1.46865836549506E-13","-0.643787860870361"
"21","10.400787","1.46865836549506E-13","-0.643765211105347"
"22","10.920826","1.45792950737196E-13","-0.643789291381836"
"23","11.440865","1.51634211914206E-13","-0.643738508224487"
"24","11.960905","1.49726869899842E-13","-0.643722772598267"
"25","12.480945","1.45196910592872E-13","-0.643819808959961"
"26","13.000984","1.39236441386997E-13","-0.643815279006958"
"27","13.521024","1.43527984636238E-13","-0.643842220306396"
"28","14.041063","1.46746628520641E-13","-0.6438307762146"
"29","14.561103","1.50203702015302E-13","-0.643815279006958"
"30","15.081142","1.50561326101896E-13","-0.643775701522827"
"31","15.601182","1.55091285408866E-13","-0.643773555755615"
"32","16.121222","1.59025191018985E-13","-0.643817901611328"
"33","16.641261","1.5437602368315E-13","-0.643792152404785"
"34","17.1613","1.5699862742323E-13","-0.643763542175293"
"35","17.681339","1.51634211914206E-13","-0.643781661987305"
"36","18.201378","1.54495231712015E-13","-0.643762826919556"
"37","18.721418","1.53422345899705E-13","-0.643728971481323"
"38","19.241457","1.5938281510558E-13","-0.643764019012451"
"39","19.761496","1.59978868802431E-13","-0.643728494644165"
"40","20.281536","1.55806533582055E-13","-0.6437828540802"
"41","20.801575","1.49130816202991E-13","-0.643762111663818"
"42","21.321615","1.53899191567691E-13","-0.643754720687866"
"43","21.841655","1.48177138419546E-13","-0.643746852874756"
"44","22.361695","1.57952305206675E-13","-0.643742561340332"
"45","22.881735","1.47223474188628E-13","-0.643736839294434"
"46","23.401775","1.53422345899705E-13","-0.643824100494385"
"47","23.921815","1.59859647221039E-13","-0.643822908401489"
"48","24.441854","1.62005418845659E-13","-0.643804550170898"
"49","24.961894","1.61051741062214E-13","-0.643706321716309"
