	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电流偏置
	...量程,	自动
	...偏置值,	0
	...限值,	5
	..Measure Settings,	
	...电流,	测量值
	...电压,	True
	...量程,	自动
	...最小量程,	0.2
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电流 (A)","SMU-1 电压 (V)"
"1","0","1.51634211914206E-13","-0.227025985717773"
"2","0.52004","1.46389004434047E-13","-0.226082563400269"
"3","1.040079","1.37567515430363E-13","-0.22563648223877"
"4","1.560119","1.3327598573365E-13","-0.225451469421387"
"5","2.080158","1.42097474737334E-13","-0.226155281066895"
"6","2.600197","1.36733045675783E-13","-0.225892782211304"
"7","3.120237","1.44124024780562E-13","-0.225834608078003"
"8","3.640276","1.49130816202991E-13","-0.22616171836853"
"9","4.160315","1.40547743257037E-13","-0.226076364517212"
"10","4.680355","1.38640401242673E-13","-0.226246118545532"
"11","5.200394","1.32083891892475E-13","-0.226499795913696"
"12","5.720433","1.2981891223899E-13","-0.226767063140869"
"13","6.240472","1.3196468386361E-13","-0.226837396621704"
"14","6.760511","1.36494629618053E-13","-0.226645946502686"
"15","7.280551","1.2934208012353E-13","-0.226722955703735"
"16","7.80059","1.39236441386997E-13","-0.226632356643677"
"17","8.32063","1.38878817300403E-13","-0.226606845855713"
"18","8.84067","1.41382213011618E-13","-0.226718425750732"
"19","9.360709","1.40786172867294E-13","-0.226815223693848"
"20","9.880748","1.43289568578508E-13","-0.226934671401978"
"21","10.400787","1.31607046224488E-13","-0.227120876312256"
"22","10.920827","1.33991233906838E-13","-0.227198839187622"
"23","11.440866","1.46865836549506E-13","-0.227266550064087"
"24","11.960905","1.42097474737334E-13","-0.227293491363525"
"25","12.480944","1.50084493986437E-13","-0.227637529373169"
"26","13.000983","1.54495231712015E-13","-0.227826833724976"
"27","13.521022","1.46508212462912E-13","-0.219353199005127"
"28","14.041062","1.46865836549506E-13","-0.210176944732666"
"29","14.561101","1.44004816751697E-13","-0.22218918800354"
"30","15.081141","1.56044949639784E-13","-0.228453636169434"
"31","15.60118","1.52468681668787E-13","-0.228116035461426"
"32","16.121219","1.54256815654286E-13","-0.227778673171997"
"33","16.641259","1.48534776058667E-13","-0.227828502655029"
"34","17.161299","1.60098076831296E-13","-0.22803521156311"
"35","17.681339","1.46031380347453E-13","-0.22818660736084"
"36","18.201378","1.51157379798747E-13","-0.228224277496338"
"37","18.721418","1.44124024780562E-13","-0.228247880935669"
"38","19.241457","1.47581098275222E-13","-0.228272438049316"
"39","19.761497","1.54972077380001E-13","-0.228582620620728"
"40","20.281537","1.54137607625421E-13","-0.228856801986694"
"41","20.801576","1.42455098823928E-13","-0.228884935379028"
"42","21.321615","1.39236441386997E-13","-0.228621959686279"
"43","21.841655","1.36971475286039E-13","-0.228597640991211"
"44","22.361694","1.33633609820244E-13","-0.228668928146362"
"45","22.881733","1.36733045675783E-13","-0.228741645812988"
"46","23.401772","1.39832495083848E-13","-0.228786945343018"
"47","23.921811","1.39594079026119E-13","-0.228610277175903"
"48","24.44185","1.45554534679466E-13","-0.228553533554077"
