	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电流偏置
	...量程,	自动
	...偏置值,	0
	...限值,	5
	..Measure Settings,	
	...电流,	测量值
	...电压,	True
	...量程,	自动
	...最小量程,	0.2
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电流 (A)","SMU-1 电压 (V)"
"89","45.763472","1.43766400693968E-13","-0.627917051315308"
"90","46.283511","1.40070911141578E-13","-0.627825736999512"
"91","46.803551","1.43051138968252E-13","-0.627806901931763"
"92","47.32359","1.45435326650602E-13","-0.627819299697876"
"93","47.843629","1.47581098275222E-13","-0.627840518951416"
"94","48.363669","1.46865836549506E-13","-0.627810955047607"
"95","48.883708","1.43408776607373E-13","-0.627811670303345"
"96","49.403747","1.44839286506278E-13","-0.627780675888062"
"97","49.923786","1.47342682217493E-13","-0.627789974212646"
"98","50.443826","1.44720078477413E-13","-0.627722024917603"
"99","50.963866","1.45673742708331E-13","-0.627805471420288"
"100","51.483905","1.44720078477413E-13","-0.627784252166748"
