	Common Settings,	
	.源输出/扫描点数,	100
	.重复次数,	0
	.测量延迟,	0.5
	.测量窗口,	20 ms
	.NPLC,	1
	.渠道,	SMU-1
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压偏压
	...量程,	自动
	...偏置值,	0
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	自动
	...最小量程,	1E-10
	...电阻,	False
	...功率,	False
	...自动归零,	打开
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False
	.,	
	..仪器,	My 2636B
	...型号,	2636B
	...序列号,	4540426
	..Source Settings,	
	...模式,	直流
	...源功能,	电压扫描
	...源类型,	线性
	...双向扫描,	禁用
	...量程,	最佳适配
	...开始,	0
	...停止,	5
	...步进,	0.0505050505050505
	...限值,	0.1
	..Measure Settings,	
	...电压,	测量值
	...电流,	True
	...量程,	0.1
	...电阻,	False
	...功率,	False
	...自动归零,	一次
	..Instrument Settings,	
	...接线端子,	后面板
	...接线方式,	2 线
	...输出关闭,	标准
	...高电容,	False

"索引","SMU-1 时间 (s)","SMU-1 电压 (V)","SMU-1 电流 (A)"
"1","0","-1.88112262549112E-05","0.000406471983296797"
"2","0.52004","-2.60114666161826E-05","0.000405377999413759"
"3","1.04008","-3.29017639160156E-05","0.00040504802018404"
"4","1.560119","-2.76088721875567E-05","0.000404393329517916"
"5","2.080158","-2.91347514576046E-05","0.000404411577619612"
"6","2.600197","-3.18527236231603E-05","0.000404883990995586"
"7","3.120237","-3.24487700709142E-05","0.000405558967031538"
"8","3.640276","-3.11374678858556E-05","0.00040615166653879"
"9","4.160315","-2.80857093457598E-05","0.00040641930536367"
"10","4.680354","-2.5963783627958E-05","0.000406685721827671"
"11","5.200393","-2.60829929175088E-05","0.000407010084018111"
"12","5.720432","-2.56776820606319E-05","0.000406478793593124"
"13","6.240472","-2.70605087280273E-05","0.000406691688112915"
"14","6.760512","-3.33786010742188E-05","0.000406132254283875"
"15","7.280551","-3.02076350635616E-05","0.000406887789722532"
"16","7.80059","-3.06844704027753E-05","0.00040872860699892"
"17","8.32063","-2.90393836621661E-05","0.000408048887038603"
"18","8.840669","-2.84194957202999E-05","0.000408027059165761"
"19","9.360709","-2.73466121143429E-05","0.000407102954341099"
"20","9.880749","-2.73466121143429E-05","0.000404697435442358"
"21","10.400789","-2.92301174340537E-05","0.00040571263525635"
