sample,condition,J_mean_A_cm2,J_std_A_cm2,V_mean_V,V_std_V,n_points
3,dark,0.00010251595311274287,1.49591113943835e-06,2.9489279404515402e-05,4.387484066553605e-06,100
3,light,0.04045939967036247,7.393433753721454e-05,-1.746702225318586e-05,4.489509762498325e-06,100
4,dark,0.00010488393942068799,5.104557971180071e-07,3.256797868743888e-05,4.467946876992028e-06,100
4,light,0.04104369118809701,8.624475268088429e-05,3.3988953046559793e-06,4.496519960180775e-06,100
