V,J
-1.09672546386719e-05,0.040593981742859
-9.9420549304341e-06,0.040587991476059
-1.20162967505166e-05,0.0405688136816025
-1.23023992273374e-05,0.04058593511581425
-1.09910970422789e-05,0.040557324886322
-8.41617566038622e-06,0.040552631020546
-9.58442706178175e-06,0.040591076016426
-1.30891803564737e-05,0.040542796254158
-1.67131420312217e-05,0.04056702554225925
-1.11579893200542e-05,0.040545791387558
-1.49965289892862e-05,0.04055875539779675
-1.43051147460938e-05,0.04054315388202675
-1.25885007946636e-05,0.04055584967136375
-1.48057943079039e-05,0.04057694971561425
-1.82390213012695e-05,0.04055035114288325
-1.85012813744834e-05,0.0405422151088715
-1.48534772961284e-05,0.04054807126522075
-1.84059153980343e-05,0.04050734639167775
-1.46389011206338e-05,0.04054078459739675
-1.65462497534463e-05,0.04051297903060925
-1.43051147460938e-05,0.0405532121658325
-1.36375429065083e-05,0.04054650664329525
-1.78098689502804e-05,0.0405375212430955
-1.26123431982705e-05,0.0405671149492265
-1.57356262207031e-05,0.040555626153946
-1.73330317920772e-05,0.04055996239185325
-1.24454500110005e-05,0.040545791387558
-1.30653379528667e-05,0.04055468738079075
-1.25646593005513e-05,0.04050050675869
-1.64508819580078e-05,0.040513962507248
-1.9073486328125e-05,0.040474534034729
-2.03847885131836e-05,0.0404928624629975
-2.02178962354083e-05,0.0404866486787795
-1.26838685901021e-05,0.04050350189208975
-1.7070769899874e-05,0.0404987186193465
-1.84774398803711e-05,0.04049272835254675
-2.27689743041992e-05,0.04048700630664825
-1.99556361621944e-05,0.04047225415706625
-1.99079513549805e-05,0.040471538901329
-2.45332721533487e-05,0.040478378534317
-1.78337104443926e-05,0.040464609861374
-1.75237655639648e-05,0.040475606918335
-1.69038776220987e-05,0.04046997427940375
-1.50203704833984e-05,0.0404721200466155
-1.59502033056924e-05,0.04046760499477375
-1.49011611938477e-05,0.04050207138061525
-1.39713292810484e-05,0.0404851734638215
-1.69754039234249e-05,0.04047717154026025
-1.2373924619169e-05,0.0404484272003175
-1.16586688818643e-05,0.04045607149600975
-8.34465026855469e-06,0.04044891893863675
-1.32560735437437e-05,0.04043139517307275
-1.04665759863565e-05,0.0404721200466155
-1.22785568237305e-05,0.04044145345687875
-1.8143653505831e-05,0.04043188691139225
-2.45332721533487e-05,0.04044109582901
-2.55107879638672e-05,0.04043358564376825
-2.47716907324502e-05,0.040421113371849
-2.01225284399698e-05,0.040410429239273
-1.73568732861895e-05,0.04042696952819825
-1.67369853443233e-05,0.04040372371673575
-1.2540817806439e-05,0.04039402306079875
-1.88827525562374e-05,0.0404136925935745
-1.81674968189327e-05,0.0403879433870315
-2.00271606445313e-05,0.040401577949524
-2.40802764892578e-05,0.0404169112443925
-2.45332721533487e-05,0.0403800308704375
-2.4151802790584e-05,0.040429249405861
-1.86681754712481e-05,0.0403958559036255
-1.86443339771358e-05,0.04044529795646675
-1.81198120117188e-05,0.040403500199318
-1.77383426489541e-05,0.040393441915512
-1.61647803906817e-05,0.04043573141098025
-1.20162967505166e-05,0.0404040813446045
-1.76429748535156e-05,0.04038839042186725
-1.59025203174679e-05,0.0403824001550675
-2.22444541577715e-05,0.0403594225645065
-2.75850306934444e-05,0.04038767516613
-2.93493267236045e-05,0.04036442935466775
-2.32458114624023e-05,0.04038096964359275
-2.50339508056641e-05,0.04042781889438625
-2.16245662159054e-05,0.04038530588150025
-2.20775600610068e-05,0.040387585759163
-1.93357464013388e-05,0.0403741747140885
-2.32458114624023e-05,0.0403969287872315
-1.86204906640342e-05,0.04036371409893025
-1.69277191162109e-05,0.040374532341957
-1.84297568921465e-05,0.040377527475357
-2.0003319150419e-05,0.04038123786449425
-2.51770015893271e-05,0.04037439823150625
-2.35795978369424e-05,0.0404257625341415
-2.28405006055254e-05,0.0404019355773925
-2.26497650146484e-05,0.04038468003273
-1.53541568579385e-05,0.04034829139709475
-1.56879432324786e-05,0.04037082195281975
-2.03847885131836e-05,0.0403132885694505
-1.90019618457882e-05,0.04031163454055775
-1.91688541235635e-05,0.040350303053856
-2.05755241040606e-05,0.0403536558151245
-1.85489661816973e-05,0.0403673350811005
