sample,condition,V_at_I0_V,V_std_V,V_n_points
3,dark,0.2284016609191895,0.0023565769609027736,100
3,light,0.643770933151245,4.078699001803683e-05,100
4,dark,0.182416372001171,0.00020237636996393505,100
4,light,0.627975583076477,0.00010906039206577576,100
