V,J
1.88112262549112e-05,3.3872665274733086e-05
2.60114666161826e-05,3.3781499951146584e-05
3.29017639160156e-05,3.3754001682003335e-05
2.76088721875567e-05,3.3699444126493e-05
2.91347514576046e-05,3.3700964801634336e-05
3.18527236231603e-05,3.37403325829655e-05
3.24487700709142e-05,3.37965805859615e-05
3.11374678858556e-05,3.384597221156583e-05
2.80857093457598e-05,3.38682754469725e-05
2.5963783627958e-05,3.389047681897258e-05
2.60829929175088e-05,3.391750700150925e-05
2.56776820606319e-05,3.3873232799427e-05
2.70605087280273e-05,3.389097400940958e-05
3.33786010742188e-05,3.384435452365625e-05
3.02076350635616e-05,3.3907315810210996e-05
3.06844704027753e-05,3.406071724991e-05
2.90393836621661e-05,3.400407391988358e-05
2.84194957202999e-05,3.4002254930480084e-05
2.73466121143429e-05,3.392524619509158e-05
2.73466121143429e-05,3.3724786286863165e-05
2.92301174340537e-05,3.38093862713625e-05
2.69889842456905e-05,3.350699989823625e-05
2.84671787085244e-05,3.3165527080806584e-05
2.91824344458291e-05,3.2987913679486746e-05
2.78472907666583e-05,3.28660923211525e-05
3.06844704027753e-05,3.2757908532706416e-05
2.96831130981445e-05,3.270312299719084e-05
2.58445743384073e-05,3.275924003294983e-05
2.74181365966797e-05,3.2820037934773914e-05
2.66790393652627e-05,3.300020277189708e-05
2.69651409325888e-05,3.366464564654358e-05
2.82287601294229e-05,3.4202894312329584e-05
2.69651409325888e-05,3.427000046940517e-05
2.62737285083858e-05,3.430622018640858e-05
2.83241279248614e-05,3.432390318873025e-05
3.00407409667969e-05,3.43464732092495e-05
2.80380245385459e-05,3.4298827813472585e-05
2.67744071607012e-05,3.4275096065054335e-05
2.28643420996377e-05,3.427753108553592e-05
1.99794776563067e-05,3.4326961516247417e-05
1.8000602722168e-05,3.43024754935565e-05
2.34842300415039e-05,3.432642552070316e-05
2.49862678174395e-05,3.43036954291165e-05
2.08139426831622e-05,3.4294210005706835e-05
2.34603885473916e-05,3.429906792007383e-05
2.5081635612878e-05,3.430420232083025e-05
2.84671787085244e-05,3.4313510695938e-05
2.9778480893583e-05,3.433510816345608e-05
2.90393836621661e-05,3.435161973660192e-05
2.71797180175781e-05,3.4345946914982085e-05
2.95639038085938e-05,3.433481955047075e-05
3.24010870826896e-05,3.4337729933516415e-05
2.9778480893583e-05,3.434444564239433e-05
3.02553180517862e-05,3.436799064123384e-05
2.36034393310547e-05,3.437894823340075e-05
2.62260437011719e-05,3.439063099600991e-05
2.78711322607705e-05,3.436719513653467e-05
2.93970115308184e-05,3.431965160416442e-05
3.16143050440587e-05,3.4291915653739084e-05
2.94923793262569e-05,3.430340924145033e-05
3.37123892677482e-05,3.432930679991842e-05
3.27825546264648e-05,3.437052267448359e-05
3.55243682861328e-05,3.4372569643892334e-05
3.51429007423576e-05,3.433084687761342e-05
3.57389471901115e-05,3.433038849228375e-05
3.28540809277911e-05,3.4412216336932e-05
3.16619880322833e-05,3.4543775351873246e-05
3.77655051124748e-05,3.4643533581402166e-05
3.83615515602287e-05,3.4466516808606664e-05
3.78131881006993e-05,3.428269701544192e-05
3.48806388501544e-05,3.4228037596525e-05
4.10556785936933e-05,3.427289144989725e-05
4.00304816139396e-05,3.4237862564623336e-05
3.97682197217364e-05,3.421829266396042e-05
3.60727317456622e-05,3.4229002873568496e-05
3.73363509424962e-05,3.4236492259272667e-05
3.57151038770098e-05,3.4256787330377833e-05
3.45468542946037e-05,3.423205149980883e-05
2.98500071949093e-05,3.4212253619140667e-05
2.71797180175781e-05,3.4175119556797084e-05
2.9444694519043e-05,3.418581763980908e-05
2.8896332878503e-05,3.4184039880832e-05
2.49862678174395e-05,3.4618807452109914e-05
2.5820732844295e-05,3.4728031702494833e-05
3.04460536426632e-05,3.479052732776233e-05
3.21626685035881e-05,3.4805071967033085e-05
2.64406207861612e-05,3.4799816300316415e-05
3.17096710205078e-05,3.480056087331225e-05
3.06367874145508e-05,3.477315234097967e-05
2.89916988549521e-05,3.4807831980288e-05
3.09228889818769e-05,3.4829975144627164e-05
3.07559967041016e-05,3.483881785844767e-05
2.91824344458291e-05,3.4840445247634e-05
2.47955322265625e-05,3.4776152460835833e-05
2.6154519218835e-05,3.4760336954301835e-05
2.73942951025674e-05,3.4767062364456584e-05
2.78949737548828e-05,3.4767280643184996e-05
2.90870666503906e-05,3.479362688570591e-05
3.52621100319084e-05,3.4790001033494834e-05
3.39746475219727e-05,3.4777255981074e-05
