V,J
0.00753753213211894,1.4488101112338416e-12
0.0622183084487915,8.790145260978416e-13
0.0659321546554565,-1.5264341873821834e-11
0.10338232666254,-2.0970702026742085e-11
0.13406328856945,-2.6154180673051084e-11
0.152585297822952,-2.9557941742345667e-11
0.239892244338989,-5.474142123299925e-07
0.29749584197998,-4.088150550766542e-05
0.355136156082153,-0.00013332694652490334
0.412736892700195,-0.0003375013669331866
0.470365047454834,-0.000753942721833785
0.527967929840088,-0.0015017509770890083
0.585609674453735,-0.002693960132698217
0.643174886703491,-0.004406872515877091
0.70078444480896,-0.006820044790705041
