V,J
1.54972076416016e-05,3.5016816885521e-05
2.64883037743857e-05,3.5069635487161584e-05
2.93970115308184e-05,3.502310573821883e-05
3.01837917504599e-05,3.503200665970025e-05
3.19719329127111e-05,3.501676595381775e-05
3.04460536426632e-05,3.506274272998175e-05
3.05414214381017e-05,3.5072587100633746e-05
2.88486480712891e-05,3.507145447656508e-05
2.66551978711504e-05,3.5064421050871416e-05
3.53574760083575e-05,3.5079213072701085e-05
3.22580344800372e-05,3.508534185433142e-05
3.17096710205078e-05,3.5088601483342584e-05
3.16858313453849e-05,3.509640858586258e-05
3.23295607813634e-05,3.5114290464358996e-05
3.5405158996582e-05,3.511221439111975e-05
3.92675392504316e-05,3.5108161682728664e-05
3.70979323633946e-05,3.5041989273546916e-05
3.53813193214592e-05,3.515061932072667e-05
3.74317169189453e-05,3.5164744379775e-05
4.32968154200353e-05,3.518709612156575e-05
3.92675392504316e-05,3.518661105772484e-05
4.12225745094474e-05,3.518838881670183e-05
3.64065163012128e-05,3.518103767419233e-05
3.32832350977696e-05,3.5175454589383085e-05
3.45468542946037e-05,3.5177033472185336e-05
3.37600722559728e-05,3.5178413478812835e-05
3.21388251904864e-05,3.51821290678345e-05
3.28063979395665e-05,3.514253330649809e-05
3.62157843483146e-05,3.503295981014767e-05
3.86476531275548e-05,3.5028788261115585e-05
3.70264060620684e-05,3.503229284736642e-05
3.29256072291173e-05,3.512939050172766e-05
3.32355521095451e-05,3.516883831859258e-05
3.33309180859942e-05,3.518290516998e-05
3.61442580469884e-05,3.517831646604467e-05
3.83138649340253e-05,3.517641744110733e-05
3.47375862475019e-05,3.5180232468216333e-05
3.72886679542717e-05,3.517600998748092e-05
3.93867485399824e-05,3.514231502776967e-05
3.81946556444746e-05,3.5036714204276586e-05
4.00781646021642e-05,3.505733669347442e-05
3.58343131665606e-05,3.506203696209317e-05
3.80516066798009e-05,3.503590899830067e-05
3.73840339307208e-05,3.503639648746075e-05
4.07457373512443e-05,3.501260410606242e-05
3.80992896680254e-05,3.499688803761575e-05
3.42607490892988e-05,3.5028419612596417e-05
3.64303596143145e-05,3.500561191079517e-05
3.38792815455236e-05,3.4997763577848666e-05
2.84433372144122e-05,3.5002541456682e-05
2.93731700367061e-05,3.5000285909821585e-05
2.92778022412676e-05,3.49993133568205e-05
3.09467322949786e-05,3.499168330260242e-05
2.8514861696749e-05,3.4989000899562e-05
2.90632251562783e-05,3.498324804240842e-05
3.1089784897631e-05,3.503576105382917e-05
2.61068344116211e-05,3.504854491135725e-05
2.86102294921875e-05,3.504598377427708e-05
2.59161006397335e-05,3.503335756249725e-05
2.76088721875567e-05,3.50212770475385e-05
2.67744071607012e-05,3.501093548644958e-05
2.86817557935137e-05,3.499739492932958e-05
2.94208530249307e-05,3.498756025995441e-05
2.77519229712198e-05,3.497463573391241e-05
3.10659415845294e-05,3.495796651501833e-05
2.93254852294922e-05,3.493258554954083e-05
2.963543010992e-05,3.4906071959994754e-05
3.14712524414063e-05,3.4886431725074836e-05
3.56435775756836e-05,3.4856161316080665e-05
3.5595894587459e-05,3.4828148879266004e-05
3.44276450050529e-05,3.480378897317375e-05
3.35216536768712e-05,3.4809064042444e-05
2.69412994384766e-05,3.476409377375e-05
2.57492065429688e-05,3.472819177356242e-05
2.76088721875567e-05,3.470222388083733e-05
2.63452529907227e-05,3.466522806168842e-05
2.62498851952842e-05,3.4676304494496415e-05
2.75135043921182e-05,3.471383630918958e-05
3.13758864649571e-05,3.4737936706127e-05
3.4523010981502e-05,3.475966271556292e-05
3.51667404174805e-05,3.476906082748125e-05
3.37600722559728e-05,3.476477771376566e-05
2.88248065771768e-05,3.475411843586092e-05
2.78711322607705e-05,3.4741215737691754e-05
3.20434592140373e-05,3.4726940308852753e-05
3.06129477394279e-05,3.471072704996917e-05
2.68220901489258e-05,3.4693400569570584e-05
3.01361087622354e-05,3.468413342488933e-05
3.02314765576739e-05,3.4685295152788336e-05
3.0517578125e-05,3.4685673502584335e-05
3.33070747728925e-05,3.4653356124181334e-05
2.88248065771768e-05,3.4672331821639084e-05
3.20196159009356e-05,3.4688137626896334e-05
3.33309180859942e-05,3.47148306900635e-05
3.39984908350743e-05,3.47377766350595e-05
3.63349936378654e-05,3.476044609366608e-05
4.0197373891715e-05,3.4764331455032e-05
3.66210952051915e-05,3.4751098913451e-05
3.45468542946037e-05,3.4830690613792584e-05
3.21626685035881e-05,3.4725785856911335e-05
